name,perfume_count
musk,2377
jasmine,1701
bergamot,1686
vanilla,841
patchouli,635
rose,623
mandarin orange orange,463
sandalwood,308
cedar,275
amber,265
orange blossom,225
lavender,215
lemon,213
pink pepper,199
cardamom,188
iris,149
grapefruit,144
vetiver,140
peony,119
peach,111
geranium,96
lily-of-the-valley,91
tonka bean,89
violet,89
black currant,85
pear,83
neroli,74
ginger,72
cinnamon,72
leather,68
pepper,65
freesia,61
ylang-ylang,56
incense,54
orange,51
tuberose,49
orchid,44
benzoin,38
raspberry,37
plum,34
mint,34
oakmoss,33
violet leaf,33
saffron,31
magnolia,30
woody notes,30
citruses,30
green notes,28
nutmeg,26
apple,26
orris root,23
labdanum,22
woodsy notes,22
heliotrope,20
gardenia,19
coconut,18
coriander,18
agarwood,17
caramel,16
tea,15
tangerine,15
osmanthus,14
sage,14
aldehydes,13
bourbon vanilla,13
honey,12
litchi,12
almond,12
black pepper,12
bitter orange,12
fig,12
pineapple,10
lotus,10
calabrian bergamot,10
coffee,10
lily,10
floral notes,10
ambrette (musk mallow),10
spicy notes,9
cypress,9
bulgarian rose,9
clary sage,9
juniper berries,9
basil,9
damask rose,9
white flowers,9
red berries,8
ambergris,8
yuzu,8
lime,8
honeysuckle,8
guaiac wood,8
salt,8
myrrh,8
amalfi lemon,7
cacao,7
fir,7
petitgrain,7
mimosa,7
sour cherry,7
tiare flower,7
green tea,7
mandarin orange,6
fruity notes,6
ambroxan,6
cream,6
artemisia,6
african orange flower,6
chestnut,6
tobacco,6
strawberry,6
rum,6
turkish rose,6
blood orange,6
lemon blossom,6
cashmeran,5
elemi,5
cyclamen,5
star anise,5
olibanum,5
narcissus,5
galbanum,5
cherry blossom,5
milk,5
suede,5
immortelle,5
black tea,5
cassis,4
praline,4
apricot,4
cashmere wood,4
sea notes,4
rosemary,4
carnation,4
fig leaf,4
licorice,4
juniper,4
blackberry,4
rhubarb,4
lilac,4
red currant,4
clementine,4
water lily,4
cherry,4
seaweed,4
flowers,4
whiskey,4
watery notes,4
kumquat,4
ozonic notes,4
wild strawberry,4
flint,3
ice,3
birch,3
chamomile,3
amberwood,3
cucumber,3
night blooming cereus,3
blue lotus,3
citron,3
red apple,3
angelica,3
cannabis,3
grapefruit blossom,3
pomelo,3
gin,3
hedione,3
hazelnut,3
guava,3
hyacinth,3
absinthe,3
red fruits,3
oak,3
frankincense,3
banana leaf,3
pomegranate,2
cedarwood,2
quince,2
water notes,2
amaryllis,2
tarragon,2
passion flower,2
water hyacinth,2
teak wood,2
australian sandalwood,2
carambola (star fruit),2
carrot,2
clove,2
grassgreen notes,2
pimento,2
bitter almond,2
mate,2
akigalawood,2
olive flower,2
frangipani,2
fig tree,2
pepperwood,2
mirabelle,2
hazelnut cocoa spread,2
nectarine,2
dark chocolate,2
popcorn,2
cotton flower,2
beeswax,2
powdery notes,2
lemon zest,2
fruits,2
resins,2
coconut milk,2
driftwood,2
cactus,2
candy apple,2
smoke,2
cypriol oil or nagarmotha,2
sweet pea,2
tropical fruits,2
davana,2
watermelon,2
almond milk,2
maninka,2
poppy,2
sweet notes,2
cactus flower,2
star jasmine,2
fern,2
boysenberry,2
ink,2
blackcurrant syrup,2
sunflower,2
vodka,2
cacao pod,2
earthy notes,2
lantana,2
melon,1
pelargonium,1
champaca,1
mahogany,1
hawthorn,1
kiwi,1
rhubard,1
papaya,1
papyrus,1
anise,1
silk tree blossom,1
bourbon geranium,1
ceylon cinnamon,1
datura,1
white chocolate,1
coumarin,1
oriental notes,1
black vanilla husk,1
cumin,1
cognac,1
marigold,1
sugar,1
blood grapefruit,1
cherry liqueur,1
black rose,1
bay leaf,1
taif rose,1
mastic or lentisque,1
rice,1
toffee,1
hibiscus,1
flax,1
castoreum,1
rangoon creeper,1
cranberry,1
almond tree,1
passionfruit,1
apple blossom,1
atlas cedar,1
coal,1
grass,1
chocolate,1
thyme,1
palmarosa,1
tulip,1
cetalox,1
marshmallow,1
bluebell,1
mineral notes,1
hay,1
pine,1
marjoram,1
stephanotis,1
pomarose,1
palisander rosewood,1
black violet,1
green pepper,1
sesame,1
chinese cedar,1
moepel accord,1
bran,1
timur,1
bamboo,1
milk mousse,1
mango blossom,1
tangerine blossom,1
ebony tree,1
zefir,1
california orange,1
mystikal,1
fennel,1
egyptian jasmine,1
ivy,1
champagne,1
galanga,1
massoia,1
cloudberry,1
daisy,1
cashmere musk,1
dyer's greenweed,1
stems greens,1
limoncello,1
aromatic spices,1
dulce de leche,1
dewberry,1
dark woodsy notes,1
chrysanthemum,1
agave,1
mock orange,1
encian,1
brazilian orange,1
eucalyptus,1
nashi pear,1
gladiolus,1
water fruit,1
carrot seeds,1
dried plum,1
candied fruits,1
cade oil,1
crystal amber,1
syringa,1
jackfruit,1
buchu or agathosma,1
vine,1
night blooming jasmine,1
olive,1
chinese osmanthus,1
dates,1
custard,1
ginseng,1
ambrette,1
currant buds,1
hortensia,1
opoponax,1
green tangerine,1
plum blossom,1
red wine,1
metallic notes,1
malt,1
liquor,1
serenolide,1
orcanox,1
pine tree,1
pebbles,1
butterfly orchid,1
rosebay willowherb,1
turmeric,1
meringue,1
