id,comment,comment_ko
1,Unique and unusual,
2,Long-lasting,
3,Alluring and sensual,
4,Head-turner,
5,Great for personal use and signature scent,
6,Enduring and penetrating,
7,Scent cloud creator,
8,Refreshing sophistication,
9,Unique and unusual,
10,Long-lasting,
11,Alluring and sensual,
12,Head-turner,
13,Great for personal use and signature scent,
14,Enduring and penetrating,
15,Scent cloud creator,
16,Refreshing sophistication,
17,Distinctive and unique scent,
18,Long-lasting fragrance,
19,Good for winter season,
20,A signature scent for some people,
21,Great for evening wear,
22,Feminine and edgy,
23,Unisex fragrance,
24,Good for office and casual wear,
25,"Alluring, feminine, pretty and sweet",
26,"Warm, elegant, and womanly",
27,Respectful usage offers long-lasting scent,
28,Tends to receive compliments,
29,Great sales success and marks generations,
30,Delicious and captivating fruity opening,
31,Soft patchouli note in drydown,
32,Best worn during autumn season,
33,Mysterious and alluring,
34,Unisex scent,
35,Masterpiece,
36,Sensual fragrance,
37,Good fit for individual personalities,
38,Perfect representation of dark magic,
39,Attractive on women in formal wear,
40,Smooth and never harsh,
41,Perfect for cold and bad weather,
42,Deep scent with no sharp edges or high notes,
43,Captivating and magical fragrance,
44,Sensual and desirable fragrance for confident women,
45,Mysterious and well-created perfume,
46,Gorgeous and well-crafted perfume,
47,Great for reacquainting with past perfumes,
48,May smell like play doh or flat soda to some people,
49,"Beautiful, elegant scent",
50,Sophisticated and feminine,
51,Suitable for any season,
52,Smooth and white floral with pear notes,
53,Great for special occasions,
54,Positive associations and memories for some,
55,Well-balanced in former formulation,
56,Admired by some men,
57,Good projection,
58,Pleasant smell,
59,Garners compliments,
60,"Spicy, citrusy, and a little smokey",
61,Lasts for 8 hours or more,
62,Strong without being overwhelming,
63,Great for impressing others,
64,Sophisticated and formal scent,
65,Perfect for the winter season,
66,High-quality fragrance,
67,Long-lasting scent,
68,Great for special occasions,
69,Attracts attention and compliments,
70,Masculine scent for men,
71,Unisex fragrance,
72,Feminine scent for women,
73,Has a vintage yet modern feel,
74,Timeless and appealing to different generations,
75,Artistic expression in fragrance form,
76,Compliment-worthy and attractive to others,
77,Captivating and attention-grabbing,
78,Excellent longevity and projection,
79,Suitable for confident wearers of any age or gender,
80,Conjures up images of nature and gardening,
81,Unique and unusual,
82,Long-lasting,
83,Alluring and sensual,
84,Head-turner,
85,Great for personal use and signature scent,
86,Enduring and penetrating,
87,Scent cloud creator,
88,Refreshing sophistication,
89,Distinctive and unique scent,
90,Long-lasting fragrance,
91,Good for winter season,
92,A signature scent for some people,
93,Great for evening wear,
94,Feminine and edgy,
95,Unisex fragrance,
96,Good for office and casual wear,
97,"Alluring, feminine, pretty and sweet",
98,"Warm, elegant, and womanly",
99,Respectful usage offers long-lasting scent,
100,Tends to receive compliments,
101,Great sales success and marks generations,
102,Delicious and captivating fruity opening,
103,Soft patchouli note in drydown,
104,Best worn during autumn season,
105,Mysterious and alluring,
106,Unisex scent,
107,Masterpiece,
108,Sensual fragrance,
109,Good fit for individual personalities,
110,Perfect representation of dark magic,
111,Attractive on women in formal wear,
112,Smooth and never harsh,
113,Perfect for cold and bad weather,
114,Deep scent with no sharp edges or high notes,
115,Captivating and magical fragrance,
116,Sensual and desirable fragrance for confident women,
117,Mysterious and well-created perfume,
118,Gorgeous and well-crafted perfume,
119,Great for reacquainting with past perfumes,
120,May smell like play doh or flat soda to some people,
121,"Beautiful, elegant scent",
122,Sophisticated and feminine,
123,Suitable for any season,
124,Smooth and white floral with pear notes,
125,Great for special occasions,
126,Positive associations and memories for some,
127,Well-balanced in former formulation,
128,Admired by some men,
129,Good projection,
130,Pleasant smell,
131,Garners compliments,
132,"Spicy, citrusy, and a little smokey",
133,Lasts for 8 hours or more,
134,Strong without being overwhelming,
135,Great for impressing others,
136,Sophisticated and formal scent,
137,Perfect for the winter season,
138,High-quality fragrance,
139,Long-lasting scent,
140,Great for special occasions,
141,Attracts attention and compliments,
142,Masculine scent for men,
143,Unisex fragrance,
144,Feminine scent for women,
145,Has a vintage yet modern feel,
146,Timeless and appealing to different generations,
147,Artistic expression in fragrance form,
148,Compliment-worthy and attractive to others,
149,Captivating and attention-grabbing,
150,Excellent longevity and projection,
151,Suitable for confident wearers of any age or gender,
152,Conjures up images of nature and gardening,
153,Mysterious and flirty fragrance,
154,Spicy and dark scent,
155,"Suitable for feminine, femme fatale image",
156,Unique tropical smell with pepper and ginger undertones,
157,Good for special occasions,
158,Receives compliments often,
159,Sophisticated and subtle scent,
160,Perfect for work,
161,A great fragrance for a night on the town,
162,Great attention grabber,
163,Received quite a few compliments,
164,"Smooth, soothing, and incredibly self-satisfying everyday casual scent",
165,Great loud scent for hanging out with the guys,
166,Crazy projection and longevity,
167,Smells better than Le Male,
168,A great aromatic therapy for stress relief,
169,Calvin Klein,
170,Good quality fragrance,
171,Sensual and intoxicating,
172,"Unique blend of fruit, floral, and wood notes",
173,Suitable for evening or romantic occasions,
174,Long-lasting scent,
175,Appealing to both men and women,
176,Attractive bottle design,
177,Maison Francis Kurkdjian,
178,A unique and memorable scent that lingers in your memory,
179,"Complex scent with a mix of sweet, metallic, and salty notes",
180,Great for special occasions and making a statement,
181,Ideal for cold weather seasons,
182,A masterpiece of modern perfumery that stands out from the rest,
183,High-quality ingredients and composition formula,
184,Unisex fragrance suitable for both genders,
185,Fresh and clean smell,
186,Perfect for everyday wear,
187,Feels put together and fresh,
188,Feminine and uplifiting fragrance,
189,Soft and subtle scent,
190,Great for those who prefer a more basic scent,
191,Suitable for those sensitive to strong scents,
192,One of the reviewer's signature scents,
193,"Has a luxurious, powdery and youthful feel",
194,Long-lasting and fresh fragrance,
195,"Enveloping cloud of rose, peony, litchi and freesia",
196,Becomes more beautiful after an hour of application,
197,Lovely floral shampoo-like aroma,
198,Suitable for extremely warm weather,
199,Aggressively clean and soapy scent,
200,Pleasurable to encounter everyone's favorite perfume,
201,Highly popular and a bestseller,
202,Great pineapple scent,
203,Batch variations can offer slight differences in scent,
204,Great fragrance if worn correctly,
205,Prestige house with a legendary bestseller,
206,Holy shit unique fragrance that mesmerizes,
207,Initially hated because of hype but ended up becoming a favorite,
208,Long lasting and strong,
209,Yves Saint Laurent,
210,"Gorgeous, sexy, manly, charming and sophisticated scent",
211,Great for special occasions and romantic settings,
212,Unique and exceptional fragrance,
213,Pleasant smelling for those who usually find men's fragrances too strong,
214,Easy to wear and versatile for different seasons and occasions,
215,Good gift for mature men,
216,Longevity and projection can be improved with larger bottle and more sprays,
217,"Deep, dark, sensual, woody, aromatic, earthy (masculine)",
218,Classy and sophisticated,
219,Suitable for evening or daytime wear,
220,Long lasting,
221,Good for office/work scent,
222,Not suitable for those who dislike earthy scents,
223,May not be suitable for those who prefer fresh and sporty scents,
224,May not be suitable for those who dislike dark or gothic scents,
225,Warm and comforting scent,
226,Good performance,
227,Excellent longevity,
228,Reasonably priced,
229,Creates a certain atmosphere,
230,Great quality,
231,Unique fragrance,
232,Overly popular,
233,Giorgio Armani,
234,Timeless classic,
235,Easy to wear and versatile,
236,Widely recognized and popular,
237,Pleasant and intoxicating scent,
238,Many women are attracted to it,
239,Suitable for any occasion and gender,
240,Good performance and longevity,
241,Jean Paul Gaultier,
242,Popular for a reason,
243,Appealing and sexy scent,
244,Long-lasting,
245,Great for indoor events,
246,Good projection,
247,Warm and cozy,
248,Blended cinnamon is subtle and sweet,
249,Unique scent that stands out,
250,Masculine and bold,
251,Liked by many who appreciate the gasoline scent,
252,Great for colder seasons,
253,Can evoke strong emotions and nostalgia,
254,Long-lasting fragrance,
255,Good for self-confidence and feeling attractive,
256,Versatile for different occasions,
257,Elegant and distinguished scent,
258,Good winter evening fragrance,
259,Good for romantic situations,
260,Sophisticated and high class scent,
261,Lasts long and has a great scent bubble,
262,Liked by many people and gets compliments,
263,Identical scent to previous formulations,
264,Requires self confidence,
265,Viktor&Rolf,
266,Makes some users feel girly and sexy,
267,Well balanced composition,
268,Feminine and delicate scent,
269,Perfect for a mature woman who still wants to feel feminine and girly,
270,Modern classic and grown-up gourmand,
271,Great for all seasons,
272,Inspiration to many other perfumes,
273,Narciso Rodriguez,
274,"Sophisticated, intelligent, and womanly",
275,Intense yet not overbearing,
276,Sensual and discreet scent,
277,Elegant and modern fragrance,
278,Long-lasting on both skin and clothes,
279,Soft and sensual second skin perfume,
280,Feminine with some masculine elements,
281,Versatile and suitable for any occasion,
282,Confidence-boosting and inviting scent,
283,High-quality fragrance with good longevity,
284,Generates compliments and positive attention,
285,Distinct from other blue fragrances,
286,Special sentimental value for some individuals,
287,EDT version has better projection,
288,Comforting and cozy EDP option for colder weather,
289,Carolina Herrera,
290,Great for autumn and winter,
291,Good for parties,
292,Addictive scent,
293,Popular fragrance,
294,Well composed and balanced,
295,"Sweet, floral, and heady",
296,High quality DNA,
297,Dolce&Gabbana,
298,Great summer fragrance,
299,Fresh and feminine,
300,Delicious tart fruit mixture,
301,Explosion of fruits in the beginning,
302,Classy take on fruity floral,
303,Unique and metropolitan scent,
304,Good longevity,
305,Giorgio Armani,
306,Fruity scent made classy and chic,
307,"Perfect balance of warm vanilla, fresh floral, and sweet fruitiness",
308,Great for fall and cold weather,
309,Seductive and intoxicating perfume,
310,Mysterious and opulent fragrance,
311,Lasts all day with one application,
312,Effervescent and delicate scent,
313,Classy and elegant,
314,"Perfect for work, date night, weddings and baby showers",
315,Charismatic and uplifting scent,
316,Heavenly and innocent fragrance,
317,Uplifting and luminous,
318,"Perfect composition of fresh, creamy flowers",
319,Gets compliments on all occasions,
320,Good sillage and longevity,
321,Calvin Klein,
322,Good example of unisex perfume,
323,Good for hot weather,
324,Feels fresh and modern,
325,Great for carefree days,
326,Bottled optimism that brings about positive feelings,
327,Unique fragrance that stands out from other scents,
328,First unisex perfume after a long time,
329,Affordable price,
330,Good performance and projection,
331,Gets compliments,
332,Bold citrus start in the opening,
333,Close similarity to Aventus,
334,Develops into a smokey batch of Aventus,
335,Decent quality ingredients,
336,Refined quality compared to other fragrances,
337,"A complex scent that is both spicy and creamy, with notes of vanilla, citrus, and musk",
338,Timeless fragrance that has been loved by women of all ages for generations,
339,Widely recognized and respected in the perfume community,
340,"Ideal for those who prefer an old fashioned, classic scent",
341,Loved by many famous figures throughout history,
342,Provides an alluring and intoxicating scent that guarantees satisfaction,
343,Can be a conversation starter and great way to connect with others who appreciate fragrance,
344,"Suitable for any weather, season, or temperature",
345,Can be worn as an everyday scent,
346,Versatile fragrance,
347,Great for outdoor use,
348,Attractive bottle design,
349,Received many compliments,
350,Underrated and unique,
351,Projects well,
352,May not be suitable for all seasons,
353,Versatile and suitable for everyday use,
354,Good price to quantity ratio,
355,Long-lasting fragrance with good sillage,
356,"Pleasant, clean and sexy fragrance",
357,Attractive bottle design,
358,Suitable for a wide range of ages,
359,Well-blended scent with fresh and spicy notes,
360,Great for cooler seasons,
361,Classy and timeless scent,
362,"Can be worn year-round, amped up in summer heat",
363,Perfect for business or formal occasions,
364,Good longevity and not overpowering,
365,Mesmerizing jasmine scent,
366,Crowd-pleaser and great for special occasions,
367,Unique and one of the favorite fragrances,
368,Suitable for all ages and genders,
369,Dolce&Gabbana,
370,Feminine and attention reaching scent,
371,Perfect balance of warm and cool notes,
372,Beautiful powdery vanilla with a soft luxurious cashmere texture,
373,"Rich, warm powder tempered by fruit",
374,Prominent peach note once noticed,
375,Ageless scent that anyone can wear,
376,Clean and fresh with a delicious vanilla gourmand scent,
377,Lolita Lempicka,
378,Stunning bottle design with a zany and creative aesthetic,
379,"Crispy ivy, creamy licorice, and sugared violets create a dreamy and unique scent",
380,"Scent is both calm and reckless, cute yet provocative, nostalgic yet modern",
381,"Whimsical and romantic fragrance with notes of cherry pie, vanilla, and anise",
382,"Fresh, floral, sweet, and powdery scent with a prominent licorice note",
383,"Captures the essence of autumn with tobacco, chocolate, wood, and dirt scents",
384,"Reminiscent of Christmas with powdery violet, vanilla, and praline notes",
385,Maison Martin Margiela,
386,Great for winter and holiday season,
387,Very realistic fragrance,
388,Evocative and transports you to memories of sitting by the fireplace,
389,Mixes sweet vanilla with smoky notes,
390,Comforting and familiar smell,
391,Good for relaxing with loved ones,
392,Better than 95% of niche fragrances,
393,Pleasant and perfect for spring/summer,
394,Game changer in the introduction of aquatic scents for men,
395,One of the best aquatic scents ever made,
396,Nostalgic and seductive scent,
397,Easily distinguishable and natural lavender scent,
398,Good copy of Green Irish Tweed,
399,Fresh and fruity fougere scent,
400,Suitable for both women and men,
401,Close to the skin and won't offend anyone,
402,Warming everyday scent for colder months,
403,Delicate musky base,
404,Sophisticated sweet fragrance,
405,Gorgeous bottle design,
406,"Mellow, grown-up gourmand with dignity",
407,Good quality candy-like smell,
408,Brilliant gourmand that smells edible,
409,Yves Saint Laurent,
410,Versatile and modern scent,
411,Strong and long-lasting,
412,Loved by many,
413,No-brainer perfume for any occasion,
414,Great projection and longevity,
415,Compliment getter,
416,"Attractive, sweet musky dry down",
417,Donna Karan,
418,"Nice, fresh spring/summer fragrance",
419,Juicy apple and white flowers scent,
420,Suitable for warm summer nights out,
421,Uncomplicated and office safe,
422,Perfect for many occasions and all ages,
423,Long-lasting and leaves a delicious trail,
424,Good as a gift,
425,"Dark, seductive, and unusual aroma",
426,Classic and timeless fragrance,
427,Expertly blended notes,
428,Excellent sillage and longevity,
429,Great for special occasions,
430,Nostalgic and comforting scent,
431,Variety of concentrations available,
432,Suitable for both men and women,
433,Giorgio Armani,
434,It has a refreshing and cooling effect.,
435,This is a great scent for summer.,
436,The fragrance has uplifting and energetic qualities.,
437,"It has a strong, fresh aquatic nature but no stingy or sharp notes.",
438,It is a great alternative to other citrus fragrances such as Light Blue.,
439,The scent is harmonious on skin and surrounds the wearer with the beauty of nature.,
440,The longevity and performance are moderate.,
441,Top quality perfume,
442,Lasts a long time,
443,Exotic and unique fragrance,
444,"Mysterious, complex, and hypnotic",
445,"Warm, spicy, and not overly sweet",
446,Potent aphrodisiac for some,
447,A signature perfume for many,
448,Dominant notes of sandalwood and Queen of the Night flowers,
449,Yves Saint Laurent,
450,"Confident, not manly",
451,Exceptional longevity,
452,"Becomes beauty and feminine, soft and warm",
453,"Soft, warm and mixes perfectly with personal chemistry",
454,Gets richer and lovelier with time,
455,Lovely vanilla and orange blossom fragrance,
456,Delicate floral with no loudness or clich̩,
457,Issey Miyake,
458,Clean and timeless scent,
459,Great for daytime occasions,
460,Blast of fresh energy,
461,Unique with yuzuu note,
462,Fresh soapy feel,
463,Insane longevity for a fresh fragrance,
464,Long lasting,
465,Elegant and feminine scent,
466,Attractive and alluring to some,
467,Comforting and calming fragrance,
468,Sweet and lingering fragrance,
469,Versatile for any occasion and season,
470,Good value for money,
471,Evocative and brings back good memories,
472,Universally appealing,
473,Giorgio Armani,
474,Suitable for work and formal occasions,
475,Masculine fragrance with timeless appeal,
476,Instant classic and worth buying,
477,"Fresh, clean and confident scent",
478,Super versatile for every occasion and season,
479,Great flanker to add to the collection,
480,Good improvement over the original AdG,
481,Fresh and floral scent perfect for summer,
482,Sporty and fresh scent with hints of lemon,
483,Comfortable to wear,
484,Feels like a fresh woods or garden,
485,Well blended notes create a new and singular aroma,
486,Pleasant projection,
487,Good longevity,
488,Scent evokes happy memories,
489,Gorgeous bottle design,
490,Enjoyable fragrance,
491,Suitable for women of all ages,
492,Not too sweet,
493,Clean and fresh scent,
494,Great for transitioning from younger to mature fragrances,
495,Suitable for all occasions,
496,Long-lasting,
497,Great for lovers of retro powder or baby powder scents,
